time	prec	temp_min	temp_max	rel_humid	wind_spd
2003-01-01	0.0	10.983907	21.192648	69.4605	2.5084562
2003-01-02	0.0009395972	13.291475	22.359644	71.8806	2.2944465
2003-01-03	0.0043120803	10.860487	19.181713	71.9239	5.0316286
2003-01-04	0.0	10.513439	20.422953	63.578335	2.6889424
2003-01-05	0.0	9.31448	19.171612	65.96801	3.575051
2003-01-06	0.00033557048	8.970268	19.744514	63.458748	2.2940269
2003-01-07	4.7515607	11.1600685	19.561329	77.920235	5.9933553
2003-01-08	0.0	9.717637	20.426863	73.76536	2.782836
2003-01-09	0.014949663	12.199446	23.985992	70.43962	3.9121146
2003-01-10	0.12035236	11.980504	21.044277	75.242165	5.106124
2003-01-11	0.0	10.42958	21.329113	65.17088	3.1376846
2003-01-12	0.0	10.827379	21.57592	63.162346	2.6644464
2003-01-13	0.0	12.412733	22.858927	64.33629	2.9003358
2003-01-14	0.0	11.980036	23.050957	63.117496	2.8519127
2003-01-15	0.0	11.849364	21.950132	66.77814	3.382601
2003-01-16	0.0	12.286275	23.272417	66.68224	2.9904025
2003-01-17	0.0	13.276359	24.317516	67.5101	2.6149156
2003-01-18	0.0	13.598841	23.534178	76.044334	2.7269294
2003-01-19	0.0	13.744379	23.679531	65.75764	3.9772487
2003-01-20	0.0	12.8373165	23.057083	65.19129	2.8521311
2003-01-21	0.008439598	14.154096	22.459663	64.7579	2.2576509
2003-01-22	15.270134	14.34359	25.730804	72.24087	3.5510573
2003-01-23	0.0	11.236865	20.120136	66.82758	4.6493793
2003-01-24	0.0	10.927133	20.965954	63.193542	2.1290433
2003-01-25	0.0	13.357888	23.17216	63.51601	2.0659564
2003-01-26	0.000117449665	15.560236	26.114668	66.509605	2.645638
2003-01-27	5.041611	11.70443	20.44656	71.006165	5.516778
2003-01-28	0.0010402683	10.810303	18.938679	61.26598	3.89193
2003-01-29	0.0	10.0799	20.917685	54.590366	2.5709233
2003-01-30	0.0	12.228423	21.993006	59.80372	2.2211413
2003-01-31	0.0	13.605855	23.087112	65.502426	2.5052514
2003-02-01	0.0	13.234698	24.004715	66.919205	4.00599
2003-02-02	0.0023322145	11.8973	20.40661	70.99773	4.21453
2003-02-03	0.15602349	12.071124	20.146847	71.1658	2.4990602
2003-02-04	0.0024328856	11.95198	19.61579	72.339745	4.2391605
2003-02-05	0.0025838926	11.251764	20.154291	62.688038	3.3723648
2003-02-06	0.0	10.134697	20.900486	62.96363	2.3901846
2003-02-07	0.0	12.87876	22.28953	65.16503	2.1651175
2003-02-08	6.667163	15.455838	27.48938	66.75719	2.6141613
2003-02-09	1.3222145	16.975523	26.4854	79.48949	2.319178
2003-02-10	3.3557048e-05	15.64525	24.888508	76.231094	2.357534
2003-02-11	0.00025167785	13.6849165	24.452148	75.7897	3.8170133
2003-02-12	0.0	13.122617	22.053171	75.53187	4.356107
2003-02-13	0.0	12.788171	23.550505	73.50328	3.4884226
2003-02-14	0.0	15.562803	25.233643	75.52677	3.3498323
2003-02-15	0.0	16.48042	27.675137	74.81884	3.1359732
2003-02-16	0.0004362416	16.723743	27.678204	78.30716	3.3605876
2003-02-17	0.0	15.327986	24.512249	73.996735	2.9212751
2003-02-18	0.0	15.859963	25.546558	70.5647	2.8491611
2003-02-19	0.0	14.648725	25.539228	72.322365	3.7669637
2003-02-20	0.0	12.908994	23.44673	67.7622	2.7120304
2003-02-21	0.0	14.766241	24.730856	69.771645	2.2315435
2003-02-22	0.0	15.967532	26.340069	67.54313	2.3838756
2003-02-23	0.0	18.000736	26.692873	74.12477	2.2443626
2003-02-24	0.0	17.317852	26.11634	74.34847	3.620537
2003-02-25	0.27454698	16.252337	25.86424	70.26703	2.7341275
2003-02-26	0.0	16.429007	26.864428	68.32721	2.4055707
2003-02-27	0.002600671	17.74527	26.757656	68.46697	3.0711243
2003-02-28	0.00048657716	16.804632	26.572435	74.74092	2.6395807
2003-03-01	0.0	17.90728	26.791225	72.7018	2.457483
2003-03-02	0.0	17.583122	25.6298	76.890755	2.0526845
2003-03-03	1.2858894	18.195856	28.405703	71.70817	2.764816
2003-03-04	0.0846141	16.579563	25.76968	69.99385	3.3808222
2003-03-05	0.0	16.579645	28.297419	68.260086	2.3760068
2003-03-06	1.1775506	16.720034	28.54911	74.577835	3.5037584
2003-03-07	2.7846308	13.649916	22.22478	69.83354	5.159664
2003-03-08	0.0	12.525823	21.656794	60.035957	3.4484732
2003-03-09	0.0027013416	13.48896	22.019733	59.26084	2.486225
